City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lubz,53.4626,12.0292,3.99,77,17,5.65,DE,1682460820
84,eyl,7.9803,49.8164,27.73,80,36,4.25,SO,1682460820
85,maragogi,-9.0122,-35.2225,25.34,86,89,2.59,BR,1682460528
86,uliastay,47.7417,96.8444,-1.32,64,53,2.54,MN,1682460820
87,papatowai,-46.5619,169.4708,10.35,72,89,7.37,NZ,1682460821
88,sinabang,2.4803,96.3801,27.44,79,100,1.77,ID,1682460821
89,swakopmund,-22.6833,14.5333,16.66,85,3,0.45,NA,1682460821
90,la passe,45.5549,-0.8967,12.13,95,100,4.7,FR,1682460821
91,nuuk,64.1835,-51.7216,0.49,100,75,9.39,GL,1682460821
92,kalulushi,-12.8378,28.0919,13.87,87,5,1.43,ZM,1682460821
93,ilebo,-4.3167,20.5833,22.99,86,2,0.65,CD,1682460821
94,spanish wells,26.323,-81.7957,29.46,68,0,6.69,US,1682460821
95,dauphin,51.1494,-100.0502,10.25,38,98,3.38,CA,1682460822
96,waliso,8.5333,37.9833,14.97,89,86,0.89,ET,1682460822
97,mount isa,-20.7333,139.5,18.87,68,40,2.57,AU,1682460822
98,whakatane,-37.9585,176.9854,20.49,61,78,2.63,NZ,1682460822
99,santa cruz,-17.8,-63.1667,24.7,78,75,1.54,BO,1682460600
100,el golaa,33.4849,9.0068,27.73,20,47,4.9,TN,1682460822
101,kenora,49.8167,-94.4337,5.99,35,99,1.79,CA,1682460822
102,mananjary,-21.2167,48.3333,23.12,84,86,1.71,MG,1682460822
103,mount pearl,47.5166,-52.7813,1.64,96,100,6.69,CA,1682460822
104,juan l. lacaze,-34.4333,-57.4167,18.99,91,82,2.5,UY,1682460823
105,keflavik,64.0049,-22.5624,2.24,93,75,3.09,IS,1682460823
106,bridgewater,44.3835,-64.5155,8.15,66,53,1.79,CA,1682460823
107,nishinoomote,30.7333,131.0,17.73,79,100,13.52,JP,1682460823
108,greymouth,-42.4667,171.2,12.36,73,80,5.01,NZ,1682460823
109,saint-paul,-21.0096,55.2707,24.44,93,0,0.89,RE,1682460823
110,port mathurin,-19.6833,63.4167,25.98,81,12,7.22,MU,1682460823
111,richards bay,-28.783,32.0377,20.45,95,11,1.92,ZA,1682460823
112,west island,-12.1568,96.8225,25.99,83,75,7.2,CC,1682460823
113,badger,64.8,-147.5333,2.22,46,40,3.6,US,1682460824
114,menongue,-14.6585,17.691,19.16,59,65,2.16,AO,1682460824
115,fort st. john,56.2499,-120.8529,8.15,34,47,7.48,CA,1682460671
116,bac lieu,9.285,105.7244,28.01,78,100,5.48,VN,1682460824
117,sandakan,5.8402,118.1179,24.32,92,99,1.45,MY,1682460824
118,vila franca do campo,37.7167,-25.4333,17.23,95,71,2.51,PT,1682460824
119,vilyuchinsk,52.9306,158.4028,5.15,80,50,3.56,RU,1682460824
120,zahedan,29.4963,60.8629,17.68,47,42,2.65,IR,1682460605
121,sao joao da barra,-21.6403,-41.0511,24.05,86,4,3.43,BR,1682460803
122,mejit,10.2753,170.8646,27.17,79,99,8.6,MH,1682460824
123,petatlan,17.5167,-101.2667,31.89,51,22,4.21,MX,1682460824
124,bontang,0.1333,117.5,24.86,86,91,1.49,ID,1682460825
125,yuxia,34.0615,108.6291,12.19,74,30,2.42,CN,1682460825
126,taroa,8.7058,171.2275,27.58,79,100,8.54,MH,1682460798
127,thief river falls,48.1191,-96.1812,8.96,37,75,0.0,US,1682460825
128,yaren,-0.5472,166.916,28.27,75,49,6.51,NR,1682460825
129,avarua,-21.2078,-159.775,28.03,69,90,3.09,CK,1682460825
130,hasaki,35.7333,140.8333,15.22,85,100,10.29,JP,1682460825
131,paranhos,-23.8928,-55.4311,19.63,97,90,1.83,BR,1682460826
132,shiyan,32.6475,110.7781,11.07,68,35,1.21,CN,1682460826
133,qaqortoq,60.7167,-46.0333,1.63,89,98,1.2,GL,1682460826
134,el nido,11.1858,119.3956,27.31,79,69,2.45,PH,1682460826
135,rio gallegos,-51.6226,-69.2181,6.03,61,0,2.57,AR,1682460748
136,nema,57.5067,50.5011,12.01,89,100,1.72,RU,1682460826
137,atafu village,-8.5421,-172.5159,29.09,75,62,6.75,TK,1682460826
138,machico,32.7,-16.7667,20.4,73,20,1.54,PT,1682460826
